"Action","Path","Reason"
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro","Distributed/review handoff duplicate now captured in final snapshot."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Archive\Textbook","Superseded old textbook snapshots; final current-state archive is now the retained archive."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Context Handoff - Pro","Completed Pro handoff duplicate now captured in final snapshot."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Layout_Drafts","Layout drafts are superseded by final wrapper/PDF and captured in final snapshot."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch04_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch05_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch06_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch07_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch08_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch09_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch10_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch11_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch12_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Math_Foundations_Ch01_Ch13_Pilot_v1.tex","Partial pilot wrapper superseded by final full wrapper."
"DeleteAfterSnapshot","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\tools","One-time metadata helper tools captured in final snapshot; not needed for release workspace."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Archive\Textbook\2026-04-23_pre_v2\Data_Analysis_Textbook_Combined.aux","Reproducible build/transient file."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Archive\Textbook\2026-04-23_pre_v2\Data_Analysis_Textbook_Combined.log","Reproducible build/transient file."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Archive\Textbook\2026-04-23_pre_v2\Data_Analysis_Textbook_Combined.toc","Reproducible build/transient file."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Builds\Math_Foundations_Ch01_Ch13_AppendixA_Pilot_v1.aux","Reproducible build/transient file."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Builds\Math_Foundations_Ch01_Ch13_AppendixA_Pilot_v1.log","Reproducible build/transient file."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Builds\Math_Foundations_Ch01_Ch13_AppendixA_Pilot_v1.out","Reproducible build/transient file."
"DeleteBuildArtifact","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\Math Foundations Rewrite\Builds\Math_Foundations_Ch01_Ch13_AppendixA_Pilot_v1.toc","Reproducible build/transient file."
"MoveToFinalReports","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Coding_and_Software_Cookbook_Audit_Report_2026-04-28.md","Final audit/integration report belongs in archive Reports, not live root."
"MoveToFinalReports","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\DA_MF_Connection_Paragraph_Alignment_Integration_Report_2026-04-28.md","Final audit/integration report belongs in archive Reports, not live root."
"MoveToFinalReports","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Final_Tiny_Product_Readiness_Cleanup_Report_2026-04-28.md","Final audit/integration report belongs in archive Reports, not live root."
"MoveToFinalReports","C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Regression_Spine_Targeted_Fixes_Integration_Report_2026-04-28.md","Final audit/integration report belongs in archive Reports, not live root."
